time,data
24-07-23T06:54:36,24.89
24-07-23T06:55:30,24.87
24-07-23T06:56:51,24.84
24-07-23T06:57:44,24.83
24-07-23T06:58:38,24.81
24-07-23T06:59:32,24.78
24-07-23T07:00:53,24.75
24-07-23T07:01:47,24.71
24-07-23T07:02:41,24.68
24-07-23T07:03:35,24.65
24-07-23T07:04:28,24.62
24-07-23T07:05:49,24.58
24-07-23T07:06:43,24.54
24-07-23T07:07:37,24.5
24-07-23T07:08:31,24.46
24-07-23T07:08:58,0
24-07-23T07:09:25,0
24-07-23T07:09:52,0
24-07-23T07:10:19,0
24-07-23T07:10:46,0
24-07-23T07:11:12,0
24-07-23T07:11:39,0
24-07-23T07:12:06,0
24-07-23T07:12:33,0
24-07-23T07:13:00,0
24-07-23T07:13:27,0
24-07-23T07:13:54,0
24-07-23T07:14:21,0
24-07-23T07:14:48,0
24-07-23T07:15:15,0
24-07-23T07:15:42,0
24-07-23T07:16:08,24.43
24-07-23T07:16:35,24.4
24-07-23T07:17:02,24.38
24-07-23T07:17:29,24.35
24-07-23T07:17:56,24.33
24-07-23T07:18:23,24.29
24-07-23T07:18:50,24.29
24-07-23T07:19:17,24.26
24-07-23T07:19:44,24.25
24-07-23T07:20:11,24.24
24-07-23T07:20:38,24.22
24-07-23T07:21:05,24.2
24-07-23T07:21:32,24.19
24-07-23T07:22:25,24.18
24-07-23T07:23:47,24.17
24-07-23T07:24:13,0
24-07-23T07:24:40,0
24-07-23T07:25:07,0
